event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,M,Olympics,2016,table_14,2,8,Hassan Saaid,,,,Maldives,,,10.47,0.135,
100m,M,Olympics,2016,table_14,3,,Siueni Filimone,,,,Tonga,,,DNS,—,
100m,M,Olympics,2016,table_15,4,1,Yohan Blake,,,,Jamaica,,,10.11,0.154,
100m,M,Olympics,2016,table_15,8,2,Jak Ali Harvey,,,,Turkey,,,10.14,0.159,
100m,M,Olympics,2016,table_15,9,3,Barakat Alharthi,,,,Oman,,,10.22,0.155,
100m,M,Olympics,2016,table_15,2,4,Mosito Lehata,,,,Lesotho,,,10.25,0.151,
100m,M,Olympics,2016,table_15,6,5,James Ellington,,,,Great Britain,,,10.29,0.145,
100m,M,Olympics,2016,table_15,3,6,Henricho Bruintjies,,,,South Africa,,,10.33,0.107,
100m,M,Olympics,2016,table_15,5,7,Zhang Peimeng,,,,China,,,10.36,0.121,
100m,M,Olympics,2016,table_15,7,8,Antoine Adams,,,,Saint Kitts and Nevis,,,10.39,0.149,
100m,M,Olympics,2016,table_16,6,,Usain Bolt,,,,Jamaica,,,10.07,0.156,
100m,M,Olympics,2016,table_16,3,,Andrew Fisher,,,,Bahrain,,,10.12,0.134,
100m,M,Olympics,2016,table_16,7,,James Dasaolu,,,,Great Britain,,,10.18,0.171,
100m,M,Olympics,2016,table_16,9,,Yoshihide Kiryu,,,,Japan,,,10.23,0.15,
100m,M,Olympics,2016,table_16,2,,Shavez Hart,,,,Bahamas,,,10.28,0.139,
100m,M,Olympics,2016,table_16,5,,Richard Thompson,,,,Trinidad and Tobago,,,10.29,0.13,
100m,M,Olympics,2016,table_16,8,,Jahvid Best,,,,Saint Lucia,,,10.39,0.147,
100m,M,Olympics,2016,table_16,1,,Jurgen Themen,,,,Suriname,,,10.47,0.139,
100m,M,Olympics,2016,table_16,4,,Jin Wei Timothee Yap,,,,Singapore,,,10.79,0.149,
100m,M,Olympics,2016,table_17,4,1,Akani Simbine,,,,South Africa,,,10.14,0.124,
100m,M,Olympics,2016,table_17,1,2,Ryota Yamagata,,,,Japan,,,10.2,0.111,
100m,M,Olympics,2016,table_17,7,3,Aaron Brown,,,,Canada,,,10.24,0.135,
100m,M,Olympics,2016,table_17,9,4,Ramon Gittens,,,,Barbados,,,10.25,0.162,
100m,M,Olympics,2016,table_17,2,5,Solomon Bockarie,,,,Netherlands,,,10.36,0.127,
100m,M,Olympics,2016,table_17,5,5,Vitor Hugo dos Santos,,,,Brazil,,,10.36,0.157,
100m,M,Olympics,2016,table_17,6,7,Kim Kuk-young,,,,South Korea,,,10.37,0.135,
100m,M,Olympics,2016,table_17,3,8,Brijesh Lawrence,,,,Saint Kitts and Nevis,,,10.55,0.163,
100m,M,Olympics,2016,table_17,8,9,Mohammed Abukhousa,,,,Palestine,,,11.89,0.153,
100m,M,Olympics,2016,table_18,3,1,Jimmy Vicaut,,,,France,,,9.95,0.131,
100m,M,Olympics,2016,table_18,7,2,Ben Youssef Meïté,,,,Ivory Coast,,,9.97,0.142,
100m,M,Olympics,2016,table_18,5,3,Akani Simbine,,,,South Africa,,,9.98,0.144,
100m,M,Olympics,2016,table_18,9,4,Jak Ali Harvey,,,,Turkey,,,10.03,0.148,
100m,M,Olympics,2016,table_18,4,5,Nickel Ashmeade,,,,Jamaica,,,10.05,0.118,
100m,M,Olympics,2016,table_18,8,6,Marvin Bracy,,,,United States,,,10.08,0.152,
100m,M,Olympics,2016,table_18,6,7,Xie Zhenye,,,,China,,,10.11,0.134,
100m,M,Olympics,2016,table_18,2,8,Hassan Taftian,,,,Iran,,,10.23,0.136,
100m,M,Olympics,2016,table_19,6,1,Usain Bolt,,,,Jamaica,,,9.86,0.143,
100m,M,Olympics,2016,table_19,5,2,Andre De Grasse,,,,Canada,,,9.92,0.13,
100m,M,Olympics,2016,table_19,9,3,Trayvon Bromell,,,,United States,,,10.01,0.128,
100m,M,Olympics,2016,table_19,7,4,Chijindu Ujah,,,,Great Britain,,,10.01,0.16,
100m,M,Olympics,2016,table_19,8,5,Ryota Yamagata,,,,Japan,,,10.05,0.109,
100m,M,Olympics,2016,table_19,3,6,Kim Collins,,,,Saint Kitts and Nevis,,,10.12,0.138,
100m,M,Olympics,2016,table_19,2,7,Cejhae Greene,,,,Antigua and Barbuda,,,10.13,0.143,
100m,M,Olympics,2016,table_19,4,,Andrew Fisher,,,,Bahrain,,,DQ,—,
100m,M,Olympics,2016,table_20,6,1,Justin Gatlin,,,,United States,,,9.94,0.151,
100m,M,Olympics,2016,table_20,4,2,Yohan Blake,,,,Jamaica,,,10.01,0.147,
100m,M,Olympics,2016,table_20,9,3,Christophe Lemaitre,,,,France,,,10.07,0.122,
100m,M,Olympics,2016,table_20,3,4,Su Bingtian,,,,China,,,10.08,0.14,
100m,M,Olympics,2016,table_20,5,5,Kemarley Brown,,,,Bahrain,,,10.13,0.152,
100m,M,Olympics,2016,table_20,2,6,James Dasaolu,,,,Great Britain,,,10.16,0.145,
100m,M,Olympics,2016,table_20,7,7,Asuka Cambridge,,,,Japan,,,10.17,0.135,
100m,M,Olympics,2016,table_20,8,,Daniel Bailey,,,,Antigua and Barbuda,,,DNS,—,
100m,M,Olympics,2016,table_21,6,,Usain Bolt,,,,Jamaica,,,9.81,0.155,
100m,M,Olympics,2016,table_21,4,,Justin Gatlin,,,,United States,,,9.89,0.152,
100m,M,Olympics,2016,table_21,7,,Andre De Grasse,,,,Canada,,,9.91,0.141,
100m,M,Olympics,2016,table_21,9,4,Yohan Blake,,,,Jamaica,,,9.93,0.145,
100m,M,Olympics,2016,table_21,3,5,Akani Simbine,,,,South Africa,,,9.94,0.128,
100m,M,Olympics,2016,table_21,8,6,Ben Youssef Meïté,,,,Ivory Coast,,,9.96,0.156,
100m,M,Olympics,2016,table_21,5,7,Jimmy Vicaut,,,,France,,,10.04,0.14,
100m,M,Olympics,2016,table_21,2,8,Trayvon Bromell,,,,United States,,,10.06,0.135,
100m,F,Olympics,2016,table_7,5,1,Hafsatu Kamara,,,,Sierra Leone,,,12.24,0.148,
100m,F,Olympics,2016,table_7,7,2,Sisila Seavula,,,,Fiji,,,12.34,0.143,
100m,F,Olympics,2016,table_7,9,3,Regine Tugade,,,,Guam,,,12.52,0.156,
100m,F,Olympics,2016,table_7,8,4,Makoura Keita,,,,Guinea,,,12.66,0.15,
100m,F,Olympics,2016,table_7,3,5,Shirin Akter,,,,Bangladesh,,,12.99,0.166,
100m,F,Olympics,2016,table_7,4,6,Mariana Cress,,,,Marshall Islands,,,13.2,0.206,
100m,F,Olympics,2016,table_7,2,7,Liliana Neto,,,,Angola,,,13.58,0.136,
100m,F,Olympics,2016,table_7,6,8,Kamia Yousufi,,,,Afghanistan,,,14.02,0.216,
100m,F,Olympics,2016,table_8,9,1,Sunayna Wahi,,,,Suriname,,,12.09,0.172,
100m,F,Olympics,2016,table_8,7,2,Patricia Taea,,,,Cook Islands,,,12.3,0.16,
100m,F,Olympics,2016,table_8,8,3,Mazoon Al-alawi,,,,Oman,,,12.3,0.161,
100m,F,Olympics,2016,table_8,2,4,Lidiane Lopes,,,,Cape Verde,,,12.38,0.154,
100m,F,Olympics,2016,table_8,3,5,Phumlile Ndzinisa,,,,Swaziland,,,12.49,0.137,
100m,F,Olympics,2016,table_8,5,6,Taine Halasima,,,,Tonga,,,12.8,0.199,
100m,F,Olympics,2016,table_8,6,7,Laenly Phoutthavong,,,,Laos,,,12.82,0.186,
100m,F,Olympics,2016,table_8,4,8,Lerissa Henry,,,,Federated States of Micronesia,,,13.53,0.163,
100m,F,Olympics,2016,table_9,3,1,Charlotte Wingfield,,,,Malta,,,11.86,0.144,
100m,F,Olympics,2016,table_9,4,2,Cecilia Bouele,,,,Republic of the Congo,,,11.98,0.165,
100m,F,Olympics,2016,table_9,9,3,Zaidatul Husniah Zulkifli,,,,Malaysia,,,12.12,0.151,
100m,F,Olympics,2016,table_9,7,4,Prenam Pesse,,,,Togo,,,12.38,0.189,
100m,F,Olympics,2016,table_9,5,5,Denika Kassim,,,,Comoros,,,12.53,0.192,
100m,F,Olympics,2016,table_9,2,6,Jordan Mageo,,,,American Samoa,,,13.72,0.173,
100m,F,Olympics,2016,table_9,8,7,Kariman Abuljadayel,,,,Saudi Arabia,,,14.61,0.205,
100m,F,Olympics,2016,table_9,6,8,Karitaake Tewaaki,,,,Kiribati,,,14.7,0.185,
100m,F,Olympics,2016,table_10,8,1,Desirèe Henry,,,,Great Britain,,,11.08,0.126,
100m,F,Olympics,2016,table_10,6,2,Murielle Ahouré,,,,Ivory Coast,,,11.17,0.159,
100m,F,Olympics,2016,table_10,9,3,Natalia Pohrebniak,,,,Ukraine,,,11.3,0.13,
100m,F,Olympics,2016,table_10,2,4,Lorene Dorcas Bazolo,,,,Portugal,,,11.43,0.142,
100m,F,Olympics,2016,table_10,3,5,Wei Yongli,,,,China,,,11.48,0.154,
100m,F,Olympics,2016,table_10,5,6,Hajar Alkhaldi,,,,Bahrain,,,11.59,0.122,
100m,F,Olympics,2016,table_10,7,7,Rima Kashafutdinova,,,,Kazakhstan,,,11.84,0.174,
100m,F,Olympics,2016,table_10,4,8,Sisila Seavula,,,,Fiji,,,12.48,0.149,
100m,F,Olympics,2016,table_11,9,1,Dafne Schippers,,,,Netherlands,,,11.16,0.143,
100m,F,Olympics,2016,table_11,5,2,Tatjana Pinto,,,,Germany,,,11.31,0.164,
100m,F,Olympics,2016,table_11,6,3,Khamica Bingham,,,,Canada,,,11.41,0.137,
100m,F,Olympics,2016,table_11,7,4,Flings Owusu-Agyapong,,,,Ghana,,,11.43,0.135,
100m,F,Olympics,2016,table_11,4,5,Gloria Asumnu,,,,Nigeria,,,11.55,0.139,
100m,F,Olympics,2016,table_11,3,6,Evelyn Rivera,,,,Colombia,,,11.59,0.161,
100m,F,Olympics,2016,table_11,8,7,Brenessa Thompson,,,,Guyana,,,11.72,0.162,
100m,F,Olympics,2016,table_11,2,8,Hafsatu Kamara,,,,Sierra Leone,,,12.22,0.15,
100m,F,Olympics,2016,table_12,9,1,Tori Bowie,,,,United States,,,11.13,0.142,
100m,F,Olympics,2016,table_12,5,2,Blessing Okagbare,,,,Nigeria,,,11.16,0.154,
100m,F,Olympics,2016,table_12,8,3,Angela Tenorio,,,,Ecuador,,,11.35,0.15,
100m,F,Olympics,2016,table_12,4,4,Ezinne Okparaebo,,,,Norway,,,11.43,0.141,
100m,F,Olympics,2016,table_12,6,5,Eliecith Palacios,,,,Colombia,,,11.48,0.172,
100m,F,Olympics,2016,table_12,3,6,Tahesia Harrigan-Scott,,,,British Virgin Islands,,,11.54,0.149,
100m,F,Olympics,2016,table_12,7,7,Khrystyna Stuy,,,,Ukraine,,,11.57,0.146,
100m,F,Olympics,2016,table_12,2,8,Cecilia Bouele,,,,Republic of the Congo,,,12.18,0.149,
100m,F,Olympics,2016,table_13,9,1,Shelly-Ann Fraser-Pryce,,,,Jamaica,,,10.96,0.146,
100m,F,Olympics,2016,table_13,5,2,Marie-Josée Ta Lou,,,,Ivory Coast,,,11.01,0.156,
100m,F,Olympics,2016,table_13,2,3,Mujinga Kambundji,,,,Switzerland,,,11.19,0.149,
100m,F,Olympics,2016,table_13,8,4,Narcisa Landazuri,,,,Ecuador,,,11.38,0.117,
100m,F,Olympics,2016,table_13,4,5,Tynia Gaither,,,,Bahamas,,,11.56,0.154,
100m,F,Olympics,2016,table_13,7,6,Ramona Papaioannou,,,,Cyprus,,,11.61,0.14,
100m,F,Olympics,2016,table_13,6,7,Ruddy Zang Milama,,,,Gabon,,,11.67,0.151,
100m,F,Olympics,2016,table_13,3,8,Sunayna Wahi,,,,Suriname,,,12.25,0.117,
100m,F,Olympics,2016,table_14,9,1,Tianna Bartoletta,,,,United States,,,11.23,0.148,
100m,F,Olympics,2016,table_14,8,2,Ewa Swoboda,,,,Poland,,,11.24,0.149,
100m,F,Olympics,2016,table_14,6,3,Olesya Povkh,,,,Ukraine,,,11.39,0.132,
100m,F,Olympics,2016,table_14,5,4,Kelly-Ann Baptiste,,,,Trinidad and Tobago,,,11.42,0.141,
100m,F,Olympics,2016,table_14,2,5,Jennifer Madu,,,,Nigeria,,,11.61,0.163,
100m,F,Olympics,2016,table_14,3,6,Nigina Sharipova,,,,Uzbekistan,,,11.68,0.135,
100m,F,Olympics,2016,table_14,4,7,Dutee Chand,,,,India,,,11.69,0.151,
100m,F,Olympics,2016,table_14,7,8,Patricia Taea,,,,Cook Islands,,,12.41,0.159,
100m,F,Olympics,2016,table_15,5,1,Michelle-Lee Ahye,,,,Trinidad and Tobago,,,11,0.153,
100m,F,Olympics,2016,table_15,7,2,Christania Williams,,,,Jamaica,,,11.27,0.17,
100m,F,Olympics,2016,table_15,4,3,Asha Philip,,,,Great Britain,,,11.34,0.12,
100m,F,Olympics,2016,table_15,2,4,Crystal Emmanuel,,,,Canada,,,11.43,0.162,
100m,F,Olympics,2016,table_15,6,5,Viktoriya Zyabkina,,,,Kazakhstan,,,11.69,0.15,
100m,F,Olympics,2016,table_15,8,6,Marika Popowicz-Drapała,,,,Poland,,,11.7,0.136,
100m,F,Olympics,2016,table_15,9,7,Iman Essa Jasim,,,,Bahrain,,,11.72,0.161,
100m,F,Olympics,2016,table_15,3,8,Charlotte Wingfield,,,,Malta,,,11.9,0.138,
100m,F,Olympics,2016,table_16,9,1,Elaine Thompson,,,,Jamaica,,,11.21,0.174,
100m,F,Olympics,2016,table_16,3,2,Rosângela Santos,,,,Brazil,,,11.25,0.163,
100m,F,Olympics,2016,table_16,4,3,Semoy Hackett,,,,Trinidad and Tobago,,,11.35,0.138,
100m,F,Olympics,2016,table_16,8,4,Toea Wisil,,,,Papua New Guinea,,,11.48,0.142,
100m,F,Olympics,2016,table_16,2,5,Olga Safronova,,,,Kazakhstan,,,11.5,0.148,
100m,F,Olympics,2016,table_16,6,6,Alyssa Conley,,,,South Africa,,,11.57,0.143,
100m,F,Olympics,2016,table_16,5,7,Melissa Breen,,,,Australia,,,11.74,0.143,
100m,F,Olympics,2016,table_16,7,8,Mazoon Al-Alawi,,,,Oman,,,12.43,0.199,
100m,F,Olympics,2016,table_17,6,1,English Gardner,,,,United States,,,11.09,0.191,
100m,F,Olympics,2016,table_17,4,2,Carina Horn,,,,South Africa,,,11.32,0.158,
100m,F,Olympics,2016,table_17,2,3,Ivet Lalova-Collio,,,,Bulgaria,,,11.35,0.125,
100m,F,Olympics,2016,table_17,7,4,Daryll Neita,,,,Great Britain,,,11.41,0.169,
100m,F,Olympics,2016,table_17,3,5,Rebekka Haase,,,,Germany,,,11.47,0.175,
100m,F,Olympics,2016,table_17,9,6,Yuan Qiqi,,,,China,,,11.56,0.143,
100m,F,Olympics,2016,table_17,5,7,Franciela Krasucki,,,,Brazil,,,11.67,0.159,
100m,F,Olympics,2016,table_17,8,8,Zaidatul Husniah Zulkifli,,,,Malaysia,,,12.62,0.149,
100m,F,Olympics,2016,table_18,7,1,Tori Bowie,,,,United States,,,10.9,0.165,
100m,F,Olympics,2016,table_18,6,2,Michelle-Lee Ahye,,,,Trinidad and Tobago,,,10.9,0.134,
100m,F,Olympics,2016,table_18,9,3,Christania Williams,,,,Jamaica,,,10.96,0.166,
100m,F,Olympics,2016,table_18,5,4,Murielle Ahouré,,,,Ivory Coast,,,11.01,0.156,
100m,F,Olympics,2016,table_18,3,5,Ángela Tenorio,,,,Ecuador,,,11.14,0.145,
100m,F,Olympics,2016,table_18,8,6,Mujinga Kambundji,,,,Switzerland,,,11.16,0.13,
100m,F,Olympics,2016,table_18,4,7,Ewa Swoboda,,,,Poland,,,11.18,0.155,
100m,F,Olympics,2016,table_18,2,8,Olesya Povkh,,,,Ukraine,,,11.29,0.126,
100m,F,Olympics,2016,table_19,5,1,Shelly-Ann Fraser-Pryce,,,,Jamaica,,,10.88,0.151,
100m,F,Olympics,2016,table_19,4,2,Dafne Schippers,,,,Netherlands,,,10.9,0.146,
100m,F,Olympics,2016,table_19,6,3,Marie-Josée Ta Lou,,,,Ivory Coast,,,10.94,0.157,
100m,F,Olympics,2016,table_19,7,4,Tianna Bartoletta,,,,United States,,,11,0.141,
100m,F,Olympics,2016,table_19,9,5,Rosângela Santos,,,,Brazil,,,11.23,0.133,
100m,F,Olympics,2016,table_19,2,6,Marizol Landázuri,,,,Ecuador,,,11.27,0.152,
100m,F,Olympics,2016,table_19,8,7,Nataliya Pohrebnyak,,,,Ukraine,,,11.32,0.138,
100m,F,Olympics,2016,table_19,3,8,Asha Philip,,,,Great Britain,,,11.33,0.124,
100m,F,Olympics,2016,table_20,4,1,Elaine Thompson,,,,Jamaica,,,10.88,0.156,
100m,F,Olympics,2016,table_20,7,2,English Gardner,,,,United States,,,10.9,0.158,
100m,F,Olympics,2016,table_20,6,3,Blessing Okagbare,,,,Nigeria,,,11.09,0.155,
100m,F,Olympics,2016,table_20,5,4,Desirèe Henry,,,,Great Britain,,,11.09,0.129,
100m,F,Olympics,2016,table_20,3,5,Semoy Hackett,,,,Trinidad and Tobago,,,11.2,0.146,
100m,F,Olympics,2016,table_20,9,6,Carina Horn,,,,South Africa,,,11.2,0.149,
100m,F,Olympics,2016,table_20,8,7,Tatjana Pinto,,,,Germany,,,11.32,0.175,
100m,F,Olympics,2016,table_20,2,,Ivet Lalova-Collio,,,,Bulgaria,,,DNS,,
100m,F,Olympics,2016,table_21,4,,Elaine Thompson,,,,Jamaica,,,10.71,0.157,
100m,F,Olympics,2016,table_21,5,,Tori Bowie,,,,United States,,,10.83,0.112,
100m,F,Olympics,2016,table_21,6,,Shelly-Ann Fraser-Pryce,,,,Jamaica,,,10.86,0.138,
100m,F,Olympics,2016,table_21,3,4,Marie-Josée Ta Lou,,,,Ivory Coast,,,10.86,0.136,
100m,F,Olympics,2016,table_21,9,5,Dafne Schippers,,,,Netherlands,,,10.9,0.134,
100m,F,Olympics,2016,table_21,8,6,Michelle-Lee Ahye,,,,Trinidad and Tobago,,,10.92,0.132,
100m,F,Olympics,2016,table_21,7,7,English Gardner,,,,United States,,,10.94,0.148,
100m,F,Olympics,2016,table_21,2,8,Christania Williams,,,,Jamaica,,,11.8,0.163,
200m,M,Olympics,2016,table_7,6,1,Alonso Edward,,,,Panama,,,20.19,0.137,
200m,M,Olympics,2016,table_7,2,2,Daniel Talbot,,,,Great Britain,,,20.27,0.143,
200m,M,Olympics,2016,table_7,8,3,Lykourgos-Stefanos Tsakonas,,,,Greece,,,20.31,0.161,
200m,M,Olympics,2016,table_7,7,4,Femi Ogunode,,,,Qatar,,,20.36,0.167,
200m,M,Olympics,2016,table_7,3,5,Jeremy Dodson,,,,Samoa,,,20.51,0.144,
200m,M,Olympics,2016,table_7,4,6,Jak Ali Harvey,,,,Turkey,,,20.58,0.139,
200m,M,Olympics,2016,table_7,5,7,Mosito Lehata,,,,Lesotho,,,20.65,0.162,
200m,M,Olympics,2016,table_7,1,,Demetrius Pinder,,,,Bahamas,,,DQ,—,
200m,M,Olympics,2016,table_8,8,1,Bruno Hortelano,,,,Spain,,,20.12,0.161,
200m,M,Olympics,2016,table_8,6,2,Yohan Blake,,,,Jamaica,,,20.13,0.166,
200m,M,Olympics,2016,table_8,4,3,Ameer Webb,,,,United States,,,20.31,0.157,
200m,M,Olympics,2016,table_8,3,4,Anaso Jobodwana,,,,South Africa,,,20.53,0.175,
200m,M,Olympics,2016,table_8,7,5,Robin Erewa,,,,Germany,,,20.61,0.197,
200m,M,Olympics,2016,table_8,2,6,Emmanuel Dasor,,,,Ghana,,,20.65,0.164,
200m,M,Olympics,2016,table_8,5,7,Shavez Hart,,,,Bahamas,,,20.74,0.151,
200m,M,Olympics,2016,table_8,1,8,Bernardo Baloyes,,,,Colombia,,,20.78,0.2,
200m,M,Olympics,2016,table_9,5,1,Salem Eid Yaqoob,,,,Bahrain,,,20.19,0.167,
200m,M,Olympics,2016,table_9,6,2,Ramil Guliyev,,,,Turkey,,,20.23,0.148,
200m,M,Olympics,2016,table_9,2,3,Aaron Brown,,,,Canada,,,20.23,0.127,
200m,M,Olympics,2016,table_9,3,4,Shōta Iizuka,,,,Japan,,,20.49,0.163,
200m,M,Olympics,2016,table_9,8,5,Emmanuel Matadi,,,,Liberia,,,20.49,0.219,
200m,M,Olympics,2016,table_9,4,6,Sibusiso Matsenjwa,,,,Swaziland,,,20.63,0.196,
200m,M,Olympics,2016,table_9,7,7,Levi Cadogan,,,,Barbados,,,21.02,0.186,
200m,M,Olympics,2016,table_9,1,8,Tega Odele,,,,Nigeria,,,21.25,0.13,
200m,M,Olympics,2016,table_10,3,1,José Carlos Herrera,,,,Mexico,,,20.29,0.143,
200m,M,Olympics,2016,table_10,8,2,Roberto Skyers,,,,Cuba,,,20.44,0.149,
200m,M,Olympics,2016,table_10,6,3,Jorge Vides,,,,Brazil,,,20.5,0.176,
200m,M,Olympics,2016,table_10,4,4,Tlotliso Leotlela,,,,South Africa,,,20.59,0.161,
200m,M,Olympics,2016,table_10,1,5,Eseosa Desalu,,,,Italy,,,20.65,0.13,
200m,M,Olympics,2016,table_10,7,6,Teray Smith,,,,Bahamas,,,20.66,0.175,
200m,M,Olympics,2016,table_10,2,7,Didier Kiki,,,,Benin,,,22.27,0.152,
200m,M,Olympics,2016,table_10,5,,Miguel Francis,,,,Antigua and Barbuda,,,DNS,—,
200m,M,Olympics,2016,table_11,4,1,Justin Gatlin,,,,United States,,,20.42,0.154,
200m,M,Olympics,2016,table_11,6,2,Matteo Galvan,,,,Italy,,,20.58,0.171,
200m,M,Olympics,2016,table_11,5,3,Ramon Gittens,,,,Barbados,,,20.58,0.144,
200m,M,Olympics,2016,table_11,2,4,Serhiy Smelyk,,,,Ukraine,,,20.66,0.182,
200m,M,Olympics,2016,table_11,7,5,Aleixo-Platini Menga,,,,Germany,,,20.8,0.136,
200m,M,Olympics,2016,table_11,8,6,Kenji Fujimitsu,,,,Japan,,,20.86,0.159,
200m,M,Olympics,2016,table_11,3,7,Yancarlos Martínez,,,,Dominican Republic,,,20.97,0.132,
200m,M,Olympics,2016,table_12,5,1,Nickel Ashmeade,,,,Jamaica,,,20.15,0.124,
200m,M,Olympics,2016,table_12,2,2,Adam Gemili,,,,Great Britain,,,20.2,0.153,
200m,M,Olympics,2016,table_12,8,3,Clarence Munyai,,,,South Africa,,,20.66,0.148,
200m,M,Olympics,2016,table_12,4,4,Burkheart Ellis,,,,Barbados,,,20.74,0.186,
200m,M,Olympics,2016,table_12,1,5,Alex Hartmann,,,,Australia,,,21.02,0.169,
200m,M,Olympics,2016,table_12,7,6,Tatenda Tsumba,,,,Zimbabwe,,,21.04,0.159,
200m,M,Olympics,2016,table_12,6,7,Rolando Palacios,,,,Honduras,,,21.32,0.187,
200m,M,Olympics,2016,table_12,3,8,Theo Piniau,,,,Papua New Guinea,,,22.14,0.175,
200m,M,Olympics,2016,table_13,8,1,Nery Brenes,,,,Costa Rica,,,20.2,0.178,
200m,M,Olympics,2016,table_13,3,2,Churandy Martina,,,,Netherlands,,,20.29,0.15,
200m,M,Olympics,2016,table_13,4,3,Brendon Rodney,,,,Canada,,,20.34,0.169,
200m,M,Olympics,2016,table_13,6,4,Davide Manenti,,,,Italy,,,20.51,0.145,
200m,M,Olympics,2016,table_13,7,5,Adama Jammeh,,,,The Gambia,,,20.55,0.182,
200m,M,Olympics,2016,table_13,5,6,Harold Houston,,,,Bermuda,,,20.85,0.117,
200m,M,Olympics,2016,table_13,1,7,Fabrice Dabla,,,,Togo,,,21.63,0.156,
200m,M,Olympics,2016,table_13,2,,Mike Nyang'au,,,,Kenya,,,DNS,—,
200m,M,Olympics,2016,table_14,3,1,LaShawn Merritt,,,,United States,,,20.15,0.162,
200m,M,Olympics,2016,table_14,2,2,Christophe Lemaitre,,,,France,,,20.28,0.171,
200m,M,Olympics,2016,table_14,4,3,Julian Reus,,,,Germany,,,20.39,0.138,
200m,M,Olympics,2016,table_14,7,4,Reynier Mena,,,,Cuba,,,20.42,0.123,
200m,M,Olympics,2016,table_14,8,5,Karol Zalewski,,,,Poland,,,20.54,0.151,
200m,M,Olympics,2016,table_14,6,6,Bruno de Barros,,,,Brazil,,,20.59,0.154,
200m,M,Olympics,2016,table_14,5,7,Ihor Bodrov,,,,Ukraine,,,20.86,0.18,
200m,M,Olympics,2016,table_14,1,8,Carvin Nkanata,,,,Kenya,,,21.43,0.213,
200m,M,Olympics,2016,table_15,5,1,Usain Bolt,,,,Jamaica,,,20.28,0.177,
200m,M,Olympics,2016,table_15,8,2,Ejowvokoghene Oduduru,,,,Nigeria,,,20.34,0.141,
200m,M,Olympics,2016,table_15,3,3,Solomon Bockarie,,,,Netherlands,,,20.42,0.136,
200m,M,Olympics,2016,table_15,7,4,Kyle Greaux,,,,Trinidad and Tobago,,,20.61,0.147,
200m,M,Olympics,2016,table_15,4,5,Jonathan Borlée,,,,Belgium,,,20.64,0.162,
200m,M,Olympics,2016,table_15,2,6,Kei Takase,,,,Japan,,,20.71,0.153,
200m,M,Olympics,2016,table_15,1,7,Ahmed Ali,,,,Sudan,,,20.78,0.153,
200m,M,Olympics,2016,table_15,6,7,Jaysuma Saidy Ndure,,,,Norway,,,20.78,0.15,
200m,M,Olympics,2016,table_16,5,1,Andre De Grasse,,,,Canada,,,20.09,0.137,
200m,M,Olympics,2016,table_16,1,2,Nethaneel Mitchell-Blake,,,,Great Britain,,,20.24,0.146,
200m,M,Olympics,2016,table_16,7,3,Rondel Sorrillo,,,,Trinidad and Tobago,,,20.27,0.124,
200m,M,Olympics,2016,table_16,8,4,Hua Wilfried Koffi,,,,Ivory Coast,,,20.48,0.159,
200m,M,Olympics,2016,table_16,6,5,Antoine Adams,,,,Saint Kitts and Nevis,,,20.49,0.141,
200m,M,Olympics,2016,table_16,3,6,Stanly del Carmen,,,,Dominican Republic,,,20.55,0.133,
200m,M,Olympics,2016,table_16,2,7,Aldemir da Silva Júnior,,,,Brazil,,,20.8,0.144,
200m,M,Olympics,2016,table_16,4,8,Brandon Jones,,,,Belize,,,21.49,0.16,
200m,M,Olympics,2016,table_17,6,1,LaShawn Merritt,,,,United States,,,19.94,0.166,
200m,M,Olympics,2016,table_17,8,2,Christophe Lemaitre,,,,France,,,20.01,0.125,
200m,M,Olympics,2016,table_17,7,3,Daniel Talbot,,,,Great Britain,,,20.25,0.153,
200m,M,Olympics,2016,table_17,4,4,Nickel Ashmeade,,,,Jamaica,,,20.31,0.134,
200m,M,Olympics,2016,table_17,1,5,Rondel Sorrillo,,,,Trinidad and Tobago,,,20.33,0.132,
200m,M,Olympics,2016,table_17,3,6,Nery Brenes,,,,Costa Rica,,,20.33,0.165,
200m,M,Olympics,2016,table_17,2,7,Aaron Brown,,,,Canada,,,20.37,0.173,
200m,M,Olympics,2016,table_17,5,8,José Carlos Herrera,,,,Mexico,,,20.48,0.15,
200m,M,Olympics,2016,table_18,4,1,Usain Bolt,,,,Jamaica,,,19.78,0.156,
200m,M,Olympics,2016,table_18,5,2,Andre De Grasse,,,,Canada,,,19.8,0.13,
200m,M,Olympics,2016,table_18,6,3,Adam Gemili,,,,Great Britain,,,20.08,0.142,
200m,M,Olympics,2016,table_18,8,4,Ramil Guliyev,,,,Turkey,,,20.09,0.157,
200m,M,Olympics,2016,table_18,2,5,Ameer Webb,,,,United States,,,20.43,0.192,
200m,M,Olympics,2016,table_18,3,5,Salem Eid Yaqoob,,,,Bahrain,,,20.43,0.143,
200m,M,Olympics,2016,table_18,7,7,Ejowvokoghene Oduduru,,,,Nigeria,,,20.59,0.147,
200m,M,Olympics,2016,table_18,1,8,Roberto Skyers,,,,Cuba,,,20.6,0.156,
200m,M,Olympics,2016,table_19,5,1,Alonso Edward,,,,Panama,,,20.07,0.14,
